driver_number,best_lap,avg_lap,avg_st_speed,max_st_speed,avg_i1_speed,avg_i2_speed,laps_count,session_key
10,75.831,84.54747435897436,275.1666666666667,284.0,178.4558823529412,174.78205128205127,78,9094
11,76.269,86.59663157894737,268.32894736842104,286.0,167.2,172.80263157894737,76,9094
14,76.674,84.10555128205128,273.6923076923077,282.0,179.2089552238806,175.10256410256412,78,9094
16,75.773,84.54141025641026,273.03846153846155,283.0,181.86111111111111,172.34615384615384,78,9094
18,77.769,80.78924528301887,276.79245283018867,286.0,186.66037735849056,182.71698113207546,54,9094
20,78.351,87.95801428571428,272.61971830985914,285.0,176.28125,170.92957746478874,71,9094
21,77.561,85.57980519480519,273.90909090909093,283.0,173.72222222222223,173.37662337662337,77,9094
22,77.68,86.05084210526316,263.11842105263156,279.0,175.14084507042253,174.43421052631578,76,9094
23,76.672,85.86438961038961,275.6753246753247,287.0,169.15068493150685,171.64935064935065,77,9094
24,76.926,85.76825974025974,275.7792207792208,285.0,173.35135135135135,173.72727272727272,77,9094
27,76.991,86.5911052631579,274.88157894736844,286.0,174.95454545454547,170.97368421052633,76,9094
31,76.528,84.22219230769231,270.96153846153845,283.0,170.78378378378378,175.43589743589743,78,9094
44,75.65,84.24844871794872,273.34615384615387,283.0,172.81690140845072,177.19230769230768,78,9094
55,76.449,84.56044871794872,278.20512820512823,288.0,180.07142857142858,173.93589743589743,78,9094
63,76.798,84.40547435897436,275.5897435897436,286.0,173.64285714285714,173.78205128205127,78,9094
77,77.824,85.211,273.87012987012986,286.0,177.95833333333334,172.1038961038961,77,9094
81,77.513,85.01837662337662,275.72727272727275,283.0,175.36764705882354,171.24675324675326,77,9094
1,76.33,79.9740303030303,302.13953488372096,310.0,262.9836065573771,265.74242424242425,66,9102
2,79.247,81.8018125,301.6458333333333,331.0,264.2142857142857,265.26153846153846,65,9102
4,77.182,81.67155384615384,303.6938775510204,330.0,261.5,265.38461538461536,65,9102
10,78.375,81.08766666666666,314.1636363636364,341.0,268.1525423728813,269.22727272727275,66,9102
11,76.666,80.515,312.1730769230769,340.0,265.43333333333334,272.3333333333333,66,9102
14,78.083,80.94383333333333,305.32758620689657,326.0,269.453125,277.8030303030303,66,9102
16,78.357,80.87029230769231,314.2037037037037,342.0,271.3174603174603,279.2878787878788,66,9102
18,78.722,80.93307575757575,300.13461538461536,322.0,265.7586206896552,270.030303030303,66,9102
20,78.069,81.78867692307692,313.38,346.0,269.5689655172414,275.75384615384615,65,9102
21,78.594,81.28606153846154,311.6792452830189,335.0,266.9830508474576,273.16923076923075,65,9102
22,78.904,81.0444393939394,309.94,331.0,267.4590163934426,279.2878787878788,66,9102
23,79.133,81.63096923076922,304.5,336.0,259.6,265.0615384615385,65,9102
24,78.753,81.06166666666667,308.84,332.0,263.68333333333334,270.07575757575756,66,9102
